match_id,player1,player2,player1hand,player2hand
20111112-M-Paris_Masters-SF-John_Isner-Jo_Wilfried_Tsonga.html,John Isner,Jo Wilfried Tsonga,RH,RH
20111112-M-Paris_Masters-SF-Tomas_Berdych-Roger_Federer.html,Tomas Berdych,Roger Federer,RH,RH
20111122-M-Tour_Finals-RR-Roger_Federer-Rafael_Nadal.html,Roger Federer,Rafael Nadal,RH,LH
20111123-M-Tour_Finals-RR-Novak_Djokovic-David_Ferrer.html,Novak Djokovic,David Ferrer,RH,RH
20111123-M-Tour_Finals-RR-Tomas_Berdych-Janko_Tipsarevic.html,Tomas Berdych,Janko Tipsarevic,RH,RH
20111125-M-Tour_Finals-RR-Novak_Djokovic-Janko_Tipsarevic.html,Novak Djokovic,Janko Tipsarevic,RH,RH
20111125-M-Tour_Finals-SF-David_Ferrer-Roger_Federer.html,David Ferrer,Roger Federer,RH,RH
20111126-M-Tour_Finals-SF-Jo_Wilfried_Tsonga-Tomas_Berdych.html,Jo Wilfried Tsonga,Tomas Berdych,RH,RH
20111127-M-Tour_Finals-F-Roger_Federer-Jo_Wilfried_Tsonga.html,Roger Federer,Jo Wilfried Tsonga,RH,RH
20120106-M-Doha_EXH-RR-Jo_Wilfried_Tsonga-Stefan_Edberg.html,Jo Wilfried Tsonga,Stefan Edberg,RH,RH
20120107-M-Brisbane-SF-Gilles_Simon-Alexandr_Dolgopolov.html,Gilles Simon,Alexandr Dolgopolov,RH,RH
20120108-M-Brisbane-F-Andy_Murray-Alexandr_Dolgopolov.html,Andy Murray,Alexandr Dolgopolov,RH,RH
20120108-M-Chennai-F-Milos_Raonic-Janko_Tipsarevic.html,Milos Raonic,Janko Tipsarevic,RH,RH
20120112-W-Hobart-QF-Yanina_Wickmayer-Simona_Halep.html,Yanina Wickmayer,Simona Halep,RH,RH
20120113-W-Hobart-SF-Angelique_Kerber-Mona_Barthel.html,Angelique Kerber,Mona Barthel,LH,RH
20120113-W-Hobart-SF-Yanina_Wickmayer-Shahar_Peer.html,Yanina Wickmayer,Shahar Peer,RH,RH
20120114-W-Hobart-F-Mona_Barthel-Yanina_Wickmayer.html,Mona Barthel,Yanina Wickmayer,RH,RH
20120115-W-Sydney-F-Na_Li-Victoria_Azarenka.html,Na Li,Victoria Azarenka,RH,RH
20120118-W-Australian_Open-R64-Carla_Suarez_Navarro-Petra_Kvitova.html,Carla Suarez Navarro,Petra Kvitova,RH,LH
20120120-W-Australian_Open-R32-Angelique_Kerber-Maria_Sharapova.html,Angelique Kerber,Maria Sharapova,LH,RH
20120121-M-Australian_Open-R32-Michael_Llodra-Andy_Murray.html,Michael Llodra,Andy Murray,LH,RH
20120122-M-Australian_Open-R16-Novak_Djokovic-Lleyton_Hewitt.html,Novak Djokovic,Lleyton Hewitt,RH,RH
20120122-W-Australian_Open-R16-Kim_Clijsters-Na_Li.html,Kim Clijsters,Na Li,RH,RH
20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic.html,David Ferrer,Novak Djokovic,RH,RH
20120125-M-Australian_Open-QF-Andy_Murray-Kei_Nishikori.html,Andy Murray,Kei Nishikori,RH,RH
20120125-W-Australian_Open-SF-Kim_Clijsters-Victoria_Azarenka.html,Kim Clijsters,Victoria Azarenka,RH,RH
20120126-W-Australian_Open-SF-Petra_Kvitova-Maria_Sharapova.html,Petra Kvitova,Maria Sharapova,LH,RH
20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray.html,Novak Djokovic,Andy Murray,RH,RH
20120127-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal.html,Roger Federer,Rafael Nadal,RH,LH
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova.html,Victoria Azarenka,Maria Sharapova,RH,RH
20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal.html,Novak Djokovic,Rafael Nadal,RH,LH
20120210-M-Davis_Cup_World_Group_R1-RR-Julien_Benneteau-Milos_Raonic.html,Julien Benneteau,Milos Raonic,RH,RH
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro.html,Roger Federer,Juan Martin Del Potro,RH,RH
20120219-W-Doha-F-Samantha_Stosur-Victoria_Azarenka.html,Samantha Stosur,Victoria Azarenka,RH,RH
20120220-W-Dubai-QF-Caroline_Wozniacki-Ana_Ivanovic.html,Caroline Wozniacki,Ana Ivanovic,RH,RH
20120221-M-Buenos_Aires-R32-Nicolas_Almagro-Potito_Starace.html,Nicolas Almagro,Potito Starace,RH,RH
20120221-M-Buenos_Aires-R32-Wayne_Odesnik-David_Nalbandian.html,Wayne Odesnik,David Nalbandian,LH,RH
20120225-M-Buenos_Aires-SF-David_Ferrer-David_Nalbandian.html,David Ferrer,David Nalbandian,RH,RH
20120225-W-Dubai-F-Julia_Goerges-Agnieszka_Radwanska.html,Julia Goerges,Agnieszka Radwanska,RH,RH
20120226-M-Memphis-F-Milos_Raonic-Jurgen_Melzer.html,Milos Raonic,Jurgen Melzer,RH,LH
20120227-M-Dubai-SF-Andy_Murray-Novak_Djokovic.html,Andy Murray,Novak Djokovic,RH,RH
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek.html,Bernard Tomic,Tim Smyczek,RH,RH
20120303-M-Dubai-F-Andy_Murray-Roger_Federer.html,Andy Murray,Roger Federer,RH,RH
20120304-M-Acapulco-F-David_Ferrer-Fernando_Verdasco.html,David Ferrer,Fernando Verdasco,RH,LH
20120312-W-Indian_Wells-R32-Simona_Halep-Maria_Sharapova.html,Simona Halep,Maria Sharapova,RH,RH
